"Locus"	"start.x"	"end"	"strand"	"product_accession"	"Product"	"feature_interval_length"	"product_length"	"GO"	"GO_terms"	"Enzyme.Codes.list"	"Description"	"start.y"
"Ccel_0123"	136430	138361	"+"	"ACL74511.1"	"ABC transporter related"	1932	643	4	"F:ATPase activity; F:DNA binding; F:ATP binding; P:metabolic process"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"multidrug ABC transporter ATP-binding"	136430
"Ccel_0124"	138387	139700	"+"	"ACL74512.1"	"DEAD/DEAH box helicase domain protein"	1314	437	4	"F:nucleic acid binding; F:ATP binding; P:RNA modification; F:helicase activity"	"EC:3.6.1; EC:3.6.1.15"	"helicase"	138387
"Ccel_0125"	139755	140657	"+"	"ACL74513.1"	"transcriptional regulator, AraC family"	903	300	5	"C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated"	""	"family transcriptional regulator ["	139755
"Ccel_0126"	140802	142061	"+"	"ACL74514.1"	"3-isopropylmalate dehydratase, large subunit"	1260	419	7	"P:isoleucine biosynthetic process; F:metal ion binding; P:valine biosynthetic process; P:leucine biosynthetic process; F:4 iron, 4 sulfur cluster binding; F:3-isopropylmalate dehydratase activity; C:3-isopropylmalate dehydratase complex"	"EC:4.2.1.33"	"3-isopropylmalate dehydratase large subunit"	140802
"Ccel_0127"	142195	142686	"+"	"ACL74515.1"	"3-isopropylmalate dehydratase, small subunit"	492	163	6	"P:isoleucine biosynthetic process; F:(R)-2-methylmalate dehydratase activity; P:valine biosynthetic process; P:leucine biosynthetic process; F:3-isopropylmalate dehydratase activity; C:3-isopropylmalate dehydratase complex"	"EC:4.2.1.33; EC:4.2.1.35"	"3-isopropylmalate dehydratase small subunit"	142195
"Ccel_0128"	142711	143781	"+"	"ACL74516.1"	"3-isopropylmalate dehydrogenase"	1071	356	8	"F:magnesium ion binding; P:isoleucine biosynthetic process; C:cytoplasm; F:NAD binding; P:valine biosynthetic process; P:leucine biosynthetic process; P:oxidation-reduction process; F:3-isopropylmalate dehydrogenase activity"	"EC:1.1.1.85"	"3-isopropylmalate dehydrogenase"	142711
"Ccel_0129"	144201	145052	"-"	"ACL74517.1"	"protein of unknown function DUF6 transmembrane"	852	283	1	"C:integral component of membrane"	""	"DMT(drug metabolite transporter) superfamily permease"	144201
"Ccel_0130"	145290	145556	"+"	"ACL74518.1"	"conserved hypothetical protein"	267	88	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	145290
"Ccel_0131"	145600	146424	"+"	"ACL74519.1"	"cyanophycinase"	825	274	4	"F:carboxypeptidase activity; P:cellular macromolecule metabolic process; P:proteolysis; F:serine-type peptidase activity"	""	"cyanophycinase [[Clostridium] papyrosolvens]"	145600
"Ccel_0132"	146462	149143	"+"	"ACL74520.1"	"cyanophycin synthetase"	2682	893	7	"F:ATP binding; F:D-alanine-D-alanine ligase activity; F:metal ion binding; P:folic acid-containing compound biosynthetic process; P:peptidoglycan biosynthetic process; P:D-alanine metabolic process; P:cellular component organization or biogenesis"	"EC:6.3.2.4"	"cyanophycin synthetase"	146462
"Ccel_0133"	149283	149933	"+"	"ACL74521.1"	"conserved hypothetical protein"	651	216	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	149283
"Ccel_0134"	149923	150903	"+"	"ACL74522.1"	"biotin/acetyl-CoA-carboxylase ligase"	981	326	6	"F:DNA binding; F:ATP binding; P:biotin metabolic process; P:regulation of transcription, DNA-templated; F:biotin-[acetyl-CoA-carboxylase] ligase activity; P:protein biotinylation"	"EC:6.3.4.15; EC:6.3.4"	"bifunctional biotin--[acetyl- -carboxylase] synthetase biotin operon repressor"	149923
"Ccel_0135"	150937	151401	"+"	"ACL74523.1"	"hypothetical protein"	465	154	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	150937
"Ccel_0136"	151422	152189	"+"	"ACL74524.1"	"putative transcriptional acitvator, Baf family"	768	255	7	"P:pantothenate biosynthetic process; F:ATP binding; C:cytoplasm; F:metal ion binding; P:coenzyme A biosynthetic process; F:pantothenate kinase activity; P:phosphorylation"	"EC:2.7.1.33"	"type III pantothenate kinase"	151422
"Ccel_0137"	152422	153354	"+"	"ACL74525.1"	"L-lactate dehydrogenase"	933	310	6	"P:gluconeogenesis; F:L-lactate dehydrogenase activity; C:cytoplasm; P:glycolytic process; P:oxidation-reduction process; P:cysteine metabolic process"	"EC:1.1.1.27"	"L-lactate dehydrogenase"	152422
"Ccel_0138"	153543	154718	"+"	"ACL74526.1"	"malic protein NAD-binding"	1176	391	13	"F:L-malate dehydrogenase activity; P:proline metabolic process; F:malate dehydrogenase (decarboxylating) (NAD+) activity; F:malate dehydrogenase (decarboxylating) (NADP+) activity; F:oxaloacetate decarboxylase activity; P:arginine metabolic process; P:malate metabolic process; F:metal ion binding; F:NAD binding; P:glyoxylate metabolic process; P:reductive tricarboxylic acid cycle; P:pyruvate metabolic process; P:carbon utilization"	"EC:4.1.1.3; EC:1.1.1.37; EC:1.1.1.38; EC:1.1.1.39; EC:1.1.1.40"	"malate dehydrogenase"	153543
"Ccel_0139"	155053	156666	"+"	"ACL74527.1"	"Mannitol dehydrogenase domain protein"	1614	537	4	"F:dioxygenase activity; F:coenzyme binding; P:oxidation-reduction process; F:fructuronate reductase activity"	"EC:1.1.1.57"	"mannitol dehydrogenase"	155053
"Ccel_0140"	156692	157774	"+"	"ACL74528.1"	"mannonate dehydratase"	1083	360	2	"P:glucuronate catabolic process; F:mannonate dehydratase activity"	"EC:4.2.1.8"	"mannonate dehydratase"	156692
"Ccel_0141"	157776	159869	"+"	"ACL74529.1"	"Glycosyl hydrolase 67 middle domain protein"	2094	697	4	"P:xylan catabolic process; F:xylan alpha-1,2-glucuronosidase activity; C:extracellular region; F:alpha-glucuronidase activity"	"EC:3.2.1.139; EC:3.2.1.131"	"alpha-glucuronidase ["	157776
"Ccel_0142"	159948	162230	"-"	"ACL74530.1"	"transcriptional regulator, AraC family"	2283	760	6	"C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; C:integral component of membrane; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated"	""	"family transcriptional regulator"	159948
"Ccel_0143"	162607	163563	"+"	"ACL74531.1"	"binding-protein-dependent transport systems inner membrane component"	957	318	4	"F:ATP binding; C:integral component of membrane; P:transport; C:plasma membrane"	""	"sugar ABC transporter ATPase"	162607
"Ccel_0144"	163583	164455	"+"	"ACL74532.1"	"binding-protein-dependent transport systems inner membrane component"	873	290	3	"C:integral component of membrane; P:carbohydrate transport; C:plasma membrane"	""	"ABC transporter permease"	163583
"Ccel_0145"	164518	166110	"+"	"ACL74533.1"	"extracellular solute-binding protein family 1"	1593	530	2	"P:carbohydrate transport; F:transporter activity"	""	"ABC transporter substrate-binding"	164518
"Ccel_0146"	166531	167331	"+"	"ACL74534.1"	"polysaccharide deacetylase"	801	266	4	"F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; P:xylan catabolic process; P:nitrogen compound metabolic process; F:hydrolase activity, acting on glycosyl bonds"	""	"polysaccharide deacetylase"	166531
"Ccel_0147"	167379	168956	"+"	"ACL74535.1"	"two component transcriptional regulator, AraC family"	1578	525	6	"C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:phosphorelay signal transduction system; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated"	""	"DNA-binding response regulator"	167379
"Ccel_0148"	168975	170759	"+"	"ACL74536.1"	"putative sensor with HAMP domain"	1785	594	6	"F:phosphorelay sensor kinase activity; C:protein histidine kinase complex; P:phosphorelay signal transduction system; C:integral component of membrane; P:signal transduction by protein phosphorylation; C:intracellular"	"EC:2.7.3; EC:2.7.13.3"	"two-component sensor histidine kinase"	168975
"Ccel_0149"	170830	172407	"+"	"ACL74537.1"	"two component transcriptional regulator, AraC family"	1578	525	6	"C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:phosphorelay signal transduction system; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated"	""	"family transcriptional regulator"	170830
"Ccel_0150"	172536	174239	"+"	"ACL74538.1"	"extracellular solute-binding protein family 1"	1704	567	2	"P:carbohydrate transport; F:transporter activity"	""	"sugar ABC transporter substrate-binding"	172536
"Ccel_0151"	174325	175296	"+"	"ACL74539.1"	"binding-protein-dependent transport systems inner membrane component"	972	323	3	"C:integral component of membrane; P:carbohydrate transport; C:plasma membrane"	""	"lplB"	174325
"Ccel_0152"	175306	176220	"+"	"ACL74540.1"	"binding-protein-dependent transport systems inner membrane component"	915	304	3	"C:integral component of membrane; P:carbohydrate transport; C:plasma membrane"	""	"sugar ABC transporter permease"	175306
"Ccel_0153"	176198	177484	"+"	"ACL74541.1"	"glycoside hydrolase family 10"	1287	428	2	"P:xylan catabolic process; F:endo-1,4-beta-xylanase activity"	"EC:3.2.1.8"	"glycoside hydrolase family 10"	176198
"Ccel_0154"	177659	180751	"+"	"ACL74542.1"	"glycoside hydrolase family 2 TIM barrel"	3093	1030	7	"P:glycerolipid metabolic process; C:beta-galactosidase complex; P:galactose metabolic process; F:carbohydrate binding; F:beta-galactosidase activity; P:glycosaminoglycan catabolic process; P:glycosphingolipid metabolic process"	"EC:3.2.1.23; EC:3.2.1"	"beta-galactosidase ["	177659
"Ccel_0155"	180862	182319	"+"	"ACL74543.1"	"Orn/Lys/Arg decarboxylase major region"	1458	485	2	"P:metabolic process; F:lyase activity"	""	"arginine decarboxylase ["	180862
"Ccel_0156"	182372	182992	"+"	"ACL74544.1"	"thymidylate kinase"	621	206	6	"F:thymidylate kinase activity; F:ATP binding; P:nucleotide phosphorylation; P:pyrimidine nucleobase metabolic process; P:dTDP biosynthetic process; P:dTTP biosynthetic process"	"EC:2.7.4.9"	"dTMP kinase"	182372
"Ccel_0157"	183026	183355	"+"	"ACL74545.1"	"protein of unknown function DUF970"	330	109	NA	NA	""	"from nitrogen regulatory P-II (GLNB) family [Caldisalinibacter kiritimatiensis]"	183026
"Ccel_0158"	183373	183840	"+"	"ACL74546.1"	"protein of unknown function DUF327"	468	155	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	183373
"Ccel_0159"	183856	184824	"+"	"ACL74547.1"	"DNA polymerase III, delta prime subunit"	969	322	7	"C:DNA polymerase III complex; F:DNA binding; F:3'-5' exonuclease activity; P:nucleic acid phosphodiester bond hydrolysis; F:DNA-directed DNA polymerase activity; P:DNA replication; P:DNA biosynthetic process"	"EC:3.1; EC:2.7.7.7"	"DNA polymerase III subunit delta"	183856
"Ccel_0160"	184857	185732	"+"	"ACL74548.1"	"PSP1 domain protein"	876	291	NA	NA	""	"stage 0 sporulation ["	184857
"Ccel_0161"	185841	186011	"+"	"ACL74549.1"	"4Fe-4S ferredoxin iron-sulfur binding domain protein"	171	56	5	"P:obsolete electron transport; F:metal ion binding; F:electron carrier activity; P:oxidation-reduction process; F:4 iron, 4 sulfur cluster binding"	""	"ferredoxin"	185841
"Ccel_0162"	186078	186860	"+"	"ACL74550.1"	"Methyltransferase type 11"	783	260	3	"F:nucleic acid binding; F:methyltransferase activity; P:methylation"	""	"tRNA1(Val) (adenine(37)-N6)-methyltransferase"	186078
"Ccel_0163"	186844	187692	"+"	"ACL74551.1"	"Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase"	849	282	3	"C:cytoplasm; F:rRNA (cytosine-2'-O-)-methyltransferase activity; P:enzyme-directed rRNA 2'-O-methylation"	"EC:2.1.1"	"rRNA (cytidine-2 -O-)-methyltransferase"	186844
"Ccel_0164"	187761	188000	"-"	"ACL74552.1"	"transcriptional regulator, AbrB family"	240	79	1	"F:DNA binding"	""	"transcriptional family"	187761
"Ccel_0165"	188368	188955	"+"	"ACL74553.1"	"nucleoside recognition domain protein"	588	195	1	"C:integral component of membrane"	""	"spore maturation"	188368
"Ccel_0166"	188971	189501	"+"	"ACL74554.1"	"nucleoside recognition domain protein"	531	176	1	"C:integral component of membrane"	""	"spore maturation"	188971
"Ccel_0167"	189498	190556	"-"	"ACL74555.1"	"hypothetical protein"	1059	352	2	"P:metabolic process; F:lyase activity"	""	"DUF2600 domain-containing [[Clostridium] termitidis]"	189498
"Ccel_0168"	190808	191575	"+"	"ACL74556.1"	"hydrolase, TatD family"	768	255	2	"F:endodeoxyribonuclease activity, producing 5'-phosphomonoesters; P:DNA catabolic process"	"EC:3.1.30; EC:3.1.21; EC:3.1"	"hydrolase"	190808
"Ccel_0169"	191627	192322	"+"	"ACL74557.1"	"hypothetical protein"	696	231	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	191627
"Ccel_0170"	192562	193632	"+"	"ACL74558.1"	"3D domain protein"	1071	356	5	"P:carbohydrate metabolic process; P:peptidoglycan turnover; C:integral component of membrane; F:hydrolase activity, hydrolyzing O-glycosyl compounds; C:outer membrane"	""	"3D domain-containing"	192562
"Ccel_0171"	193822	194694	"+"	"ACL74559.1"	"dimethyladenosine transferase"	873	290	5	"F:RNA binding; F:16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity; C:cytoplasm; P:rRNA methylation; F:rRNA (adenine-N6,N6-)-dimethyltransferase activity"	"EC:2.1.1.182; EC:2.1.1"	"ribosomal RNA small subunit methyltransferase A"	193822
"Ccel_0172"	194789	196132	"+"	"ACL74560.1"	"hypothetical protein"	1344	447	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	194789
"Ccel_0173"	196207	196605	"+"	"ACL74561.1"	"hemerythrin-like metal-binding protein"	399	132	1	"F:metal ion binding"	""	"hemerythrin"	196207
"Ccel_0174"	196730	197167	"+"	"ACL74562.1"	"protein of unknown function DUF710"	438	145	2	"P:barrier septum assembly; C:cytoplasm"	""	"cell division ["	196730
"Ccel_0175"	197310	198203	"+"	"ACL74563.1"	"metalloenzyme domain protein"	894	297	3	"F:catalytic activity; F:metal ion binding; P:metabolic process"	""	"peptidase ["	197310
"Ccel_0176"	198225	200732	"+"	"ACL74564.1"	"peptidase U32"	2508	835	2	"P:proteolysis; F:peptidase activity"	""	"peptidase U32"	198225
"Ccel_0177"	200770	201273	"+"	"ACL74565.1"	"deoxyuridine 5'-triphosphate nucleotidohydrolase Dut"	504	167	5	"P:pyrimidine nucleobase metabolic process; F:dUTP diphosphatase activity; F:metal ion binding; F:transaminase activity; P:dUTP metabolic process"	"EC:3.6.1.23; EC:3.6.1; EC:3.6.1.19"	"aminotransferase [[Clostridium] papyrosolvens]"	200770
"Ccel_0178"	201303	203093	"+"	"ACL74566.1"	"GTP-binding proten HflX"	1791	596	5	"F:magnesium ion binding; F:GTP binding; C:cytoplasm; F:GTPase activity; P:metabolic process"	"EC:3.6.1; EC:3.6.1.15"	"GTPase ["	201303
"Ccel_0179"	203169	203582	"+"	"ACL74567.1"	"NUDIX hydrolase"	414	137	2	"P:metabolic process; F:hydrolase activity"	""	"NUDIX hydrolase"	203169
"Ccel_0180"	203708	204358	"+"	"ACL74568.1"	"protein of unknown function UPF0029"	651	216	NA	NA	""	"family ["	203708
"Ccel_0181"	204453	205199	"+"	"ACL74569.1"	"protein of unknown function DUF28"	747	248	3	"F:DNA binding; C:cytoplasm; P:regulation of transcription, DNA-templated"	""	"transcriptional regulator"	204453
"Ccel_0182"	205368	205874	"-"	"ACL74570.1"	"hypothetical protein"	507	168	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	205368
"Ccel_0183"	205992	206996	"-"	"ACL74571.1"	"hypothetical protein"	1005	334	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	205992
"Ccel_0185"	209184	210080	"-"	"ACL74572.1"	"conserved hypothetical protein"	897	298	NA	NA	""	"hypothetical protein [[Clostridium] cellulolyticum]"	209184
"Ccel_0186"	210243	211601	"+"	"ACL74573.1"	"transcriptional regulator, AraC family"	1359	452	6	"C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated; F:ligase activity"	""	"family transcriptional regulator"	210243
"Ccel_0187"	211614	212171	"+"	"ACL74574.1"	"hypothetical protein"	558	185	NA	NA	""	"integron gene cassette"	211614
"Ccel_0188"	212178	212768	"+"	"ACL74575.1"	"methyltransferase small"	591	196	3	"F:nucleic acid binding; F:methyltransferase activity; P:methylation"	""	"methyltransferase"	212178
"Ccel_0189"	212840	213262	"+"	"ACL74576.1"	"hypothetical protein"	423	140	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	212840
"Ccel_0190"	213263	213646	"+"	"ACL74577.1"	"conserved hypothetical protein"	384	127	1	"C:integral component of membrane"	""	"hypothetical protein [[Clostridium] cellulolyticum]"	213263
"Ccel_0191"	213695	214720	"+"	"ACL74578.1"	"Appr-1-p processing domain protein"	1026	341	2	"F:sequence-specific DNA binding; F:transferase activity"	""	"Appr-1-p processing"	213695
"Ccel_0192"	214731	215426	"+"	"ACL74579.1"	"NADPH-dependent FMN reductase"	696	231	2	"F:oxidoreductase activity; P:oxidation-reduction process"	""	"flavin reductase"	214731
"Ccel_0193"	215517	216170	"+"	"ACL74580.1"	"Von willebarnd factor type A"	654	217	NA	NA	""	"von Willebrand factor type A"	215517
"Ccel_0194"	216647	217933	"-"	"ACL74581.1"	"metal dependent phosphohydrolase"	1287	428	2	"P:metabolic process; F:hydrolase activity"	""	"metal dependent phosphohydrolase"	216647
"Ccel_0195"	218139	218852	"+"	"ACL74582.1"	"ABC transporter related"	714	237	3	"F:ATPase activity; F:ATP binding; P:metabolic process"	"EC:3.6.1; EC:3.6.1.3; EC:3.6.1.15"	"ABC transporter"	218139
"Ccel_0196"	218845	220443	"+"	"ACL74583.1"	"putative ABC transporter, permease protein"	1599	532	1	"C:integral component of membrane"	""	"ABC transporter permease"	218845
"Ccel_0197"	220495	221310	"+"	"ACL74584.1"	"protein of unknown function DUF1113"	816	271	1	"C:integral component of membrane"	""	"membrane"	220495
"Ccel_0198"	221322	222926	"-"	"ACL74585.1"	"two component transcriptional regulator, AraC family"	1605	534	6	"C:transcription factor complex; F:transcription factor activity, sequence-specific DNA binding; P:phosphorelay signal transduction system; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding; P:regulation of transcription, DNA-templated"	""	"DNA-binding response regulator"	221322
"Ccel_0199"	222919	224688	"-"	"ACL74586.1"	"putative sensor with HAMP domain"	1770	589	7	"F:phosphorelay sensor kinase activity; C:protein histidine kinase complex; P:phosphorelay signal transduction system; C:integral component of membrane; P:signal transduction by protein phosphorylation; C:intracellular; P:peptidyl-histidine phosphorylation"	"EC:2.7.3; EC:2.7.13.3"	"two-component sensor histidine kinase"	222919
"Ccel_0200"	224941	226266	"+"	"ACL74587.1"	"extracellular solute-binding protein family 1"	1326	441	2	"P:carbohydrate transport; F:transporter activity"	""	"ABC transporter substrate-binding"	224941
